Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
1350.0,KAMATHOTEL,Kamat Hotels (I) Limited,61582.851773999995
1351.0,HTMEDIA,HT Media Limited,61561.929053
1352.0,RUBYMILLS,The Ruby Mills Limited,61512.88
1353.0,ALBERTDAVD,Albert David Limited,61491.816969
1354.0,KODYTECH,Kody Technolab Limited,60585.96579
1355.0,LGHL,Laxmi Goldorna House Limited,60403.2786
1356.0,PRIMESECU,Prime Securities Limited,60402.5729625
1357.0,RBZJEWEL,RBZ Jewellers Limited,60300
1358.0,PLASTIBLEN,Plastiblends India Limited,60281.9494
1359.0,IRISDOREME,Iris Clothings Limited,60280.69557
1360.0,PDMJEPAPER,Pudumjee Paper Products Limited,59676.075
1361.0,INDSWFTLAB,Ind-Swift Laboratories Limited,59175.49029
1362.0,MIRZAINT,Mirza International Limited,59150.4132
1363.0,STEL,Stel Holdings Limited,59066.5237025
1364.0,SAKUMA,Sakuma Exports Limited,58874.41693
1365.0,SIMPLEXINF,Simplex Infrastructures Limited,58599.96191
1366.0,ARROWGREEN,Arrow Greentech Limited,58314.88037
1367.0,VINYLINDIA,Vinyl Chemicals (India) Limited,57936.1022045
1368.0,OSWALAGRO,Oswal Agro Mills Limited,57519.601516
1369.0,HINDCOMPOS,Hindustan Composites Limited,57480.948
1370.0,ARIHANTCAP,Arihant Capital Markets Limited,57157.9272
1371.0,MBLINFRA,MBL Infrastructure Limited,57143.647392
1372.0,DEEPENR,DEEP ENERGY RESOURCES LIMITED,57056
1373.0,ORICONENT,Oricon Enterprises Limited,57008.320545
1374.0,SHREYAS,Shreyas Shipping & Logistics Limited,56946.8618355
1375.0,SKMEGGPROD,SKM Egg Products Export (India) Limited,56833.305
1376.0,ORIENTCER,ORIENT CERATECH LIMITED,56828.62
1377.0,DIGISPICE,DiGiSPICE Technologies Limited,56778.549416999995
1378.0,ZODIAC,Zodiac Energy Limited,56653.36296
1379.0,KRISHIVAL,Krishival Foods Limited,55960.80391
1380.0,JETAIRWAYS,Jet Airways (India) Limited,55946.7111275
1381.0,RATNAVEER,Ratnaveer Precision Engineering Limited,55943.64264
1382.0,JINDALPHOT,Jindal Photo Limited,55902.747536999996
1383.0,RADIOCITY,Music Broadcast Limited,55828.2284375
1384.0,HCL-INSYS,HCL Infosystems Limited,55636.477832
1385.0,RBL,Rane Brake Lining Limited,55129.439972
1386.0,KHADIM,Khadim India Limited,55040.927682
1387.0,AXITA,Axita Cotton Limited,54523.92
1388.0,ASMS,Bartronics India Limited,54519.23646
1389.0,BIRLAMONEY,Aditya Birla Money Limited,54361.851362
1390.0,VISHNUINFR,Vishnusurya Projects and Infra Limited,54116.666528999995
1391.0,VLEGOV,VL E-Governance & IT Solutions Limited,53717.323803
1392.0,BBTCL,B&B Triplewall Containers Limited,53595.87012
1393.0,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,53526.817768500005
1394.0,GEECEE,GeeCee Ventures Limited,53439.9234595
1395.0,RACE,Race Eco Chain Limited,53421.0822
1396.0,RITCO,Ritco Logistics Limited,53407.980476000004
1397.0,TCLCONS,Tantia Constructions Limited,53397.5
1398.0,BALAXI,BALAXI PHARMACEUTICALS LIMITED,53300.986375
1399.0,PYRAMID,Pyramid Technoplast Limited,53282.7828
1400.0,REMSONSIND,Remsons Industries Limited,52734.28511
1401.0,UFO,UFO Moviez India Limited,51872.434156
1402.0,ACCENTMIC,Accent Microcell Limited,51713.1725
1403.0,PTL,PTL Enterprises Limited,51693.2185
1404.0,INDOBORAX,Indo Borax & Chemicals Limited,51648.855
1405.0,MOLDTECH,Mold-Tek Technologies Limited,51600.755185
1406.0,MAZDA,Mazda Limited,51584.4
1407.0,MINDTECK,Mindteck (India) Limited,51542.668996
1408.0,COOLCAPS,Cool Caps Industries Limited,51442
1409.0,ALLETEC,All E Technologies Limited,50778.255551999995
1410.0,20MICRONS,20 Microns Limited,50706.703374
1411.0,VIKASECO,Vikas EcoTech Limited,50674.994876000004
1412.0,ORIENTBELL,Orient Bell Limited,50647.713083999995
1413.0,DONEAR,Donear Industries Limited,50622
1414.0,CAREERP,Career Point Limited,50467.212786000004
1415.0,INTLCONV,International Conveyors Limited,50386.305
1416.0,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,50206.0845
1417.0,PRITIKAUTO,Pritika Auto Industries Limited,50199.240105
1418.0,DIAMINESQ,Diamines & Chemicals Limited,49590.153315
1419.0,SILINV,SIL Investments Limited,49583.32687
1420.0,BANSWRAS,Banswara Syntex Limited,49345.549086000006
1421.0,SADBHAV,Sadbhav Engineering Limited,49069.2488
1422.0,APCL,Anjani Portland Cement Limited,49041.168498
1423.0,NAHARINDUS,Nahar Industrial Enterprises Limited,49038.334435
1424.0,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,48818.588
1425.0,GEEKAYWIRE,Geekay Wires Limited,48732.45
1426.0,SGIL,Synergy Green Industries Limited,48691.98
1427.0,TIRUPATI,Shree Tirupati Balajee FIBC Limited,48624.192
1428.0,MEDICAMEQ,Medicamen Biotech Limited,48567.5729
1429.0,MEGATHERM,Megatherm Induction Limited,48543.138268500006
1430.0,TPLPLASTEH,TPL Plastech Limited,48439.863
1431.0,RSSOFTWARE,R. S. Software (India) Limited,48421.616953000004
1432.0,RBMINFRA,Rbm Infracon Limited,48375.371
1433.0,WANBURY,Wanbury Limited,47890.290825
1434.0,GENUSPAPER,Genus Paper & Boards Limited,47825.42484
1435.0,KANORICHEM,Kanoria Chemicals & Industries Limited,47691.2729695
1436.0,VSTL,Vibhor Steel Tubes Limited,47519.882158
1437.0,LIBERTSHOE,Liberty Shoes Limited,47141.16
1438.0,GLOBAL,Global Education Limited,46859.9209
1439.0,BRNL,Bharat Road Network Limited,46844.1
1440.0,NOVAAGRI,Nova Agritech Limited,46768.765471499995
1441.0,TVSELECT,TVS Electronics Limited,46737.696908000005
1442.0,VINSYS,Vinsys IT Services India Limited,46668.468896499995
1443.0,NDL,Nandan Denim Limited,46559.535264
1444.0,KRITINUT,Kriti Nutrients Limited,46420.91128
1445.0,NAHARCAP,Nahar Capital and Financial Services Limited,46395.2556735
1446.0,CLEDUCATE,CL Educate Limited,46295.8746045
1447.0,ZIMLAB,Zim Laboratories Limited,46265.160393
1448.0,SHIVAMAUTO,Shivam Autotech Limited,45405.555473
1449.0,SYSTANGO,Systango Technologies Limited,45326.592
1450.0,UNIDT,United Drilling Tools Limited,45296.274106000004
1451.0,SARLAPOLY,Sarla Performance Fibers Limited,44799.3595
1452.0,WTICAB,Wise Travel India Limited,44659.10029350001
1453.0,KRITIKA,Kritika Wires Limited,44601.9
1454.0,TRF,TRF Limited,44578.873012
1455.0,AUTOIND,Autoline Industries Limited,44534.896452
1456.0,MUTHOOTCAP,Muthoot Capital Services Limited,44161.626105
1457.0,PURVFLEXI,Purv Flexipack Limited,44053.283625
1458.0,NBIFIN,N. B. I. Industrial Finance Company Limited,43968.228578999995
1459.0,AYMSYNTEX,AYM Syntex Limited,43947.937152
1460.0,MIRCELECTR,MIRC Electronics Limited,43880.99761
1461.0,NAHARPOLY,Nahar Poly Films Limited,43877.269939499995
1462.0,IITL,Industrial Investment Trust Limited,43829.7204
1463.0,GOLDTECH,AION-TECH SOLUTIONS LIMITED,43694.440391000004
1464.0,VENUSREM,Venus Remedies Limited,43556.330398000006
1465.0,KRISHNADEF,Krishna Defence and Allied Industries Limited,43403.967
1466.0,WINDMACHIN,Windsor Machines Limited,43374.4424
1467.0,APS,Australian Premium Solar (India) Limited,43358.91
1468.0,APOLSINHOT,Apollo Sindoori Hotels Limited,43343.4672
1469.0,BPL,BPL Limited,42951.733627
1470.0,CYBERTECH,Cybertech Systems And Software Limited,42941.2711365
1471.0,KOTARISUG,Kothari Sugars And Chemicals Limited,42646.17441
1472.0,IL&FSENGG,IL&FS Engineering and Construction Company Limited,42548.789811
1473.0,SHIVAUM,Shiv Aum Steels Limited,42433.248
1474.0,ESSARSHPNG,Essar Shipping Limited,42430.09476
1475.0,CELLECOR,Cellecor Gadgets Limited,42103.30224
1476.0,PROZONER,Prozone Realty Limited,42042.094266500004
1477.0,AARTISURF,Aarti Surfactants Limited,41915.6121405
1478.0,LAL,Lorenzini Apparels Limited,41915.20095
1479.0,CINELINE,Cineline India Limited,41753.649829
1480.0,TECHLABS,Trident Techlabs Limited,41474.5536
1481.0,FELIX,Felix Industries Limited,41435.19
1482.0,NIPPOBATRY,Indo-National Limited,41370
1483.0,PREMIERPOL,Premier Polyfilm Limited,41006.6789625
1484.0,VARDHACRLC,Vardhman Acrylics Limited,40985.51046
1485.0,RPPINFRA,R.P.P. Infra Projects Limited,40843.2808885
1486.0,HIGREEN,Hi-Green Carbon Limited,40833.66
1487.0,SURANI,Surani Steel Tubes Limited,40660.824
1488.0,NILAINFRA,Nila Infrastructures Limited,40570.5876
1489.0,KAYA,Kaya Limited,40492.1500545
1490.0,SJLOGISTIC,S J Logistics (India) Limited,40444.140525
1491.0,CRAYONS,Crayons Advertising Limited,40248.425
1492.0,NITCO,Nitco Limited,40205.0853225
1493.0,EUROBOND,Euro Panel Products Limited,40082
1494.0,MEDICO,Medico Remedies Limited,39915.304
1495.0,ALANKIT,Alankit Limited,39859.06275
1496.0,EMAMIREAL,Emami Realty Limited,39755.005394499996
1497.0,SAAKSHI,Saakshi Medtech and Panels Limited,39602.408
1498.0,SEJALLTD,Sejal Glass Limited,39253.65
1499.0,SHEMAROO,Shemaroo Entertainment Limited,38906.452721
1500.0,BEWLTD,BEW Engineering Limited,38780.9733425
1501.0,IFBAGRO,IFB Agro Industries Limited,38718.9533185
1502.0,DICIND,DIC India Limited,38583.829819499995
1503.0,PRECOT,Precot Limited,38520
1504.0,ASAHISONG,Asahi Songwon Colors Limited,38255.558821
1505.0,ORBTEXP,Orbit Exports Limited,38170.555325
1506.0,MODISONLTD,MODISON LIMITED,37771.8
1507.0,AURUM,Aurum PropTech Limited,37759.505103
1508.0,KDL,Kore Digital Limited,37757.28
1509.0,EXXARO,Exxaro Tiles Limited,37582.4988
1510.0,KARNIKA,Karnika Industries Limited,37409.2915
1511.0,SAHYADRI,Sahyadri Industries Limited,37277.62465
1512.0,SKP,SKP Bearing Industries Limited,37267
1513.0,KCPSUGIND,KCP Sugar and Industries Corporation Limited,37133.603875
1514.0,MKPL,M K Proteins Limited,36974.142
1515.0,MANAKSTEEL,Manaksia Steels Limited,36830.1361
1516.0,UNIVPHOTO,Universus Photo Imagings Limited,36665.650098000006
1517.0,SCPL,Sheetal Cool Products Limited,36645
1518.0,SIGMA,Sigma Solve Limited,36593.031629
1519.0,IZMO,IZMO Limited,36359.4954285
1520.0,SINTERCOM,Sintercom India Limited,36322.961129
1521.0,FOCE,Foce India Limited,36207.645
1522.0,PODDARMENT,Poddar Pigments Limited,35856.495
1523.0,PLAZACABLE,Plaza Wires Limited,35657.94357
1524.0,DCMNVL,DCM Nouvelle Limited,35506.400849
1525.0,SHYAMCENT,Shyam Century Ferrous Limited,35432.88933
1526.0,SAKHTISUG,Sakthi Sugars Limited,35417.012728
1527.0,ESFL,Essen Speciality Films Limited,35395.632
1528.0,ATMASTCO,Atmastco Limited,35185.096525
1529.0,KORE,Jay Jalaram Technologies Limited,35159.67
1530.0,LYKALABS,Lyka Labs Limited,35108.49
1531.0,STARPAPER,Star Paper Mills Limited,35040.74575
1532.0,SRGHFL,SRG Housing Finance Limited,34794.5
1533.0,HINDMOTORS,Hindustan Motors Limited,34637.442638
1534.0,PONNIERODE,Ponni Sugars (Erode) Limited,34569.939569
1535.0,ASHIMASYN,Ashima Limited,34498.81404
1536.0,KOTHARIPRO,Kothari Products Limited,34335.3666825
1537.0,GOKUL,Gokul Refoils and Solvent Limited,34202.7725
1538.0,HITECHCORP,Hitech Corporation Limited,34076.5888
1539.0,DIGIKORE,Digikore Studios Limited,34016.6352
1540.0,KNAGRI,KN Agri Resources Limited,33998.5176
1541.0,URAVI,Uravi T and Wedge Lamps Limited,33968
1542.0,LAWSIKHO,Addictive Learning Technology Limited,33704.767242
1543.0,GOLDSTAR,Goldstar Power Limited,33698.7
1544.0,TCL,Thaai Casting Limited,33607.3088
1545.0,RUCHIRA,Ruchira Papers Limited,33411.459588000005
1546.0,MAHEPC,Mahindra EPC Irrigation Limited,33327.892752
1547.0,PROV,Proventus Agrocom Limited,33286.5644215
1548.0,OSIAHYPER,Osia Hyper Retail Limited,33192.8159
1549.0,MAWANASUG,Mawana Sugars Limited,33171.100672
1550.0,RHL,Robust Hotels Limited,33156.82708
1551.0,NATHBIOGEN,Nath Bio-Genes (India) Limited,33076.462
1552.0,EIFFL,Euro India Fresh Foods Limited,32711.2
1553.0,SARTELE,Sar Televenture Limited,32145
1554.0,VIPULLTD,Vipul Limited,32095.8484
1555.0,ESSENTIA,Integra Essentia Limited,31992.31021
1556.0,MWL,Mangalam Worldwide Limited,31973.37957
1557.0,UCAL,UCAL LIMITED,31954.188125
1558.0,PASUPTAC,Pasupati Acrylon Limited,31909.657318
1559.0,DRONE,Drone Destination Limited,31869.447376999997
1560.0,INFINIUM,Infinium Pharmachem Limited,31867.9148
1561.0,COASTCORP,Coastal Corporation Limited,31864.136726999997
1562.0,MOS,Mos Utility Limited,31767.936564
1563.0,BIL,Bhartiya International Limited,31756.678011
1564.0,INDTERRAIN,Indian Terrain Fashions Limited,31557.8255625
1565.0,ARIES,Aries Agro Limited,31496.509058000003
1566.0,SHREERAMA,Shree Rama Multi-Tech Limited,31431.7151775
1567.0,DYNPRO,Dynemic Products Limited,31333.948135
1568.0,SHERA,Shera Energy Limited,31231.429563499998
1569.0,MHLXMIRU,Mahalaxmi Rubtech Limited,30920.9306625
1570.0,NDLVENTURE,NDL Ventures Limited,30910.548078000003
1571.0,GULFPETRO,GP Petroleums Limited,30769.0751405
1572.0,TAKE,Take Solutions Limited,30696.305
1573.0,EQUIPPP,Equippp Social Impact Technologies Limited,30567.7342125
1574.0,SMLT,Sarthak Metals Limited,30521.297625
1575.0,HARRMALAYA,Harrisons  Malayalam Limited,30432.962845
1576.0,UMAEXPORTS,Uma Exports Limited,30411.942085
1577.0,LANCORHOL,Lancor Holdings Limited,30375
1578.0,PROPEQUITY,P. E. Analytics Limited,30136.049
1579.0,SOFTTECH,Softtech Engineers Limited,30077.05323
1580.0,MANOMAY,Manomay Tex India Limited,30024.0706725
1581.0,REPL,Rudrabhishek Enterprises Limited,29855.11375
1582.0,RANASUG,Rana Sugars Limited,29792.15708
1583.0,NEWJAISA,Newjaisa Technologies Limited,29753.619864
1584.0,SHREYANIND,Shreyans Industries Limited,29398.8625
1585.0,IVC,IL&FS Investment Managers Limited,29362.06119
1586.0,RAJTV,Raj Television Network Limited,29279.126016
1587.0,VIPCLOTHNG,VIP Clothing Limited,29239.167726
1588.0,ABINFRA,A B Infrabuild Limited,29183.51502
1589.0,TIPSFILMS,Tips Films Limited,29153.543184000002
1590.0,SOUTHWEST,South West Pinnacle Exploration Limited,29060.3496
1591.0,ABAN,Aban Offshore Limited,29036.7481925
1592.0,AIRAN,Airan Limited,29004.64
1593.0,SUPREMEPWR,Supreme Power Equipment Limited,29002.2121675
1594.0,VIRINCHI,Virinchi Limited,28846.524647
1595.0,GOYALSALT,Goyal Salt Limited,28729.90125
1596.0,TRIGYN,Trigyn Technologies Limited,28723.091688
1597.0,EMKAY,Emkay Global Financial Services Limited,28517.84628
1598.0,INDOTHAI,Indo Thai Securities Limited,28495
1599.0,RAJMET,Rajnandini Metal Limited,28477.44
1600.0,RAMAPHO,Rama Phosphates Limited,28415.300078
1601.0,MGEL,Mangalam Global Enterprise Limited,28331.4829875
1602.0,LORDSCHLO,Lords Chloro Alkali Limited,28247.785903000004
1603.0,SWARAJ,Swaraj Suiting Limited,28076.21151
1604.0,RPPL,Rajshree Polypack Limited,28044.3255
1605.0,ALMONDZ,Almondz Global Securities Limited,27922.5806305
1606.0,TEMBO,Tembo Global Industries Limited,27903.713698000003
1607.0,ZODIACLOTH,Zodiac Clothing Company Limited,27774.286614499997
1608.0,ASCOM,Ascom Leasing & Investments Limited,27645.4648
1609.0,PILITA,PIL ITALICA LIFESTYLE LIMITED,27377.5
1610.0,AARON,Aaron Industries Limited,27308.9706925
1611.0,JAYSREETEA,Jayshree Tea & Industries Limited,27043.767512
1612.0,KRISHCA,Krishca Strapping Solutions Limited,26867.82
1613.0,INTENTECH,Intense Technologies Limited,26858.4953805
1614.0,RUCHINFRA,Ruchi Infrastructure Limited,26790.985953000003
1615.0,MURUDCERA,Murudeshwar Ceramics Limited,26770.60064
1616.0,DRCSYSTEMS,DRC Systems India Limited,26758.11786
1617.0,SUNDRMBRAK,Sundaram Brake Linings Limited,26735.437125
1618.0,VISHWARAJ,Vishwaraj Sugar Industries Limited,26664.76
1619.0,USK,Udayshivakumar Infra Limited,26654.463873
1620.0,HINDCON,Hindcon Chemicals Limited,26644.7203125
1621.0,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,26617.77
1622.0,PAR,Par Drugs And Chemicals Limited,26510.338261999997
1623.0,MEGASTAR,Megastar Foods Limited,26444.78095
1624.0,ZEAL,Zeal Global Services Limited,26273.4465
1625.0,BHAGYANGR,Bhagyanagar India Limited,26155.9125
1626.0,KONSTELEC,Konstelec Engineers Limited,26107.9
1627.0,WELINV,Welspun Investments and Commercials Limited,26050.932166
1628.0,MARALOVER,Maral Overseas Limited,26025.516
1629.0,MAGNUM,Magnum Ventures Limited,25998.3089555
1630.0,GINNIFILA,Ginni Filaments Limited,25951.969695
1631.0,SADHAV,Sadhav Shipping Limited,25863.417636
1632.0,TARACHAND,Tara Chand InfraLogistic Solutions Limited,25814.5885
1633.0,KMSUGAR,K.M.Sugar Mills Limited,25806.047685
1634.0,ASIANHOTNR,Asian Hotels (North) Limited,25678.26228
1635.0,SVLL,Shree Vasu Logistics Limited,25569.18
1636.0,GUJAPOLLO,Gujarat Apollo Industries Limited,25558.8
1637.0,NURECA,Nureca Limited,25530.446775
1638.0,STARTECK,Starteck Finance Limited,25519.09975
1639.0,FROG,Frog Cellsat Limited,25422.4332
1640.0,PRAXIS,Praxis Home Retail Limited,25419.291351999997
1641.0,SHREEKARNI,Shree Karni Fabcom Limited,25363.728
1642.0,COMSYN,Commercial Syn Bags Limited,25189.8621
1643.0,ABCOTS,A B Cotspin India Limited,25154.1368
1644.0,BGRENERGY,BGR Energy Systems Limited,25112.22288
1645.0,RKEC,RKEC Projects Limited,25058.1817
1646.0,MCLEODRUSS,Mcleod Russel India Limited,24964.920665
1647.0,CHAVDA,Chavda Infra Limited,24939.544
1648.0,LOYALTEX,Loyal Textile Mills Limited,24785.431116
1649.0,KAPSTON,Kapston Services Limited,24584.1318335
1650.0,BROOKS,Brooks Laboratories Limited,24566.946768
1651.0,THOMASCOTT,Thomas Scott (India) Limited,24544.7851
1652.0,BASML,Bannari Amman Spinning Mills Limited,24510.227238000003
1653.0,RVHL,Ravinder Heights Limited,24500.2984
1654.0,PPAP,PPAP Automotive Limited,24451
1655.0,DELPHIFX,DELPHI WORLD MONEY LIMITED,24342.259375
1656.0,ELGIRUBCO,Elgi Rubber Company Limited,24324.3
1657.0,SADBHIN,Sadbhav Infrastructure Project Limited,24303.539904
1658.0,DCI,Dc Infotech And Communication Limited,23998
1659.0,ANMOL,Anmol India Limited,23790.1147
1660.0,A2ZINFRA,A2Z Infra Engineering Limited,23776.18083
1661.0,AHLEAST,Asian Hotels (East) Limited,23533.998256
1662.0,VETO,Veto Switchgears And Cables Limited,23482.7222175
1663.0,MANORG,Mangalam Organics Limited,23333.81678
1664.0,SAH,Sah Polymers Limited,23113.216
1665.0,ROXHITECH,Rox Hi Tech Limited,23087.54985
1666.0,AIROLAM,Airo Lam limited,23028.07
1667.0,BAIDFIN,Baid Finserv Limited,22752.94285
1668.0,SELMC,SEL Manufacturing Company Limited,22746.97155
1669.0,DRSDILIP,DRS Dilip Roadlines Limited,22744.22853
1670.0,TEXMOPIPES,Texmo Pipes and Products Limited,22553.1375
1671.0,TTL,T T Limited,22497.709325
1672.0,GIRRESORTS,GIR Natureview Resorts Limited,22472.058125
1673.0,MANAKCOAT,Manaksia Coated Metals & Industries Limited,22429.2531
1674.0,JMA,Jullundur Motor Agency (Delhi) Limited,22407.073974000003
1675.0,CORDSCABLE,Cords Cable Industries Limited,22377.98718
1676.0,DEVIT,Dev Information Technology Limited,22355.4814
1677.0,IRIS,Iris Business Services Limited,22187.891652
1678.0,CROWN,Crown Lifters Limited,22157.685
1679.0,RANEENGINE,Rane Engine Valve Limited,21974.6570625
1680.0,OMAXAUTO,Omax Autos Limited,21926.864538
1681.0,TREJHARA,TREJHARA SOLUTIONS LIMITED,21890.577384
1682.0,NILASPACES,Nila Spaces Limited,21860.8506
1683.0,BYKE,The Byke Hospitality Ltd,21773.1054
1684.0,MODIRUBBER,Modi Rubber Limited,21760.222308
1685.0,ANLON,Anlon Technology Solutions Limited,21747.4
1686.0,PRITI,Priti International Limited,21725.864655999998
1687.0,PARAGON,Paragon Fine and Speciality Chemical Limited,21698.694
1688.0,NECCLTD,North Eastern Carrying Corporation Limited,21662.12412
1689.0,CCHHL,Country Club Hospitality & Holidays Limited,21659.0773875
1690.0,SUPERHOUSE,Superhouse Limited,21647.5875
1691.0,RAMANEWS,Shree Rama Newsprint Limited,21611.977688000003
1692.0,HILTON,Hilton Metal Forging Limited,21420
1693.0,NDGL,Naga Dhunseri Group Limited,21385
1694.0,GSS,GSS Infotech Limited,21382.7642875
1695.0,LGBFORGE,LGB Forge Limited,21200.019207
1696.0,INDOWIND,Indowind Energy Limited,21144.95166
1697.0,MEP,MEP Infrastructure Developers Limited,21096.295865
1698.0,BTML,Bodhi Tree Multimedia Limited,21037.016
1699.0,VMARCIND,V Marc India Limited,21019.80456
1700.0,UNITEDPOLY,United Polyfab Gujarat Limited,21000.66825
1701.0,RMDRIP,R M Drip and Sprinklers Systems Limited,20959.81
1702.0,ALPHAGEO,Alphageo (India) Limited,20895.530060999998
1703.0,QMSMEDI,QMS Medical Allied Services Limited,20893.425
1704.0,USASEEDS,Upsurge Seeds Of Agriculture Limited,20826.41
1705.0,UNIHEALTH,Unihealth Consultancy Limited,20789.9352
1706.0,ROCKINGDCE,Rockingdeals Circular Economy Limited,20680.8155
1707.0,ESCONET,Esconet Technologies Limited,20591.76
1708.0,SMSLIFE,SMS Lifesciences India Limited,20441.9550505
1709.0,VARDMNPOLY,Vardhman Polytex Limited,20399.9903575
1710.0,AVONMORE,Avonmore Capital & Management Services Limited,20399.03767
1711.0,LAGNAM,Lagnam Spintex Limited,20398.8605
1712.0,AKSHARCHEM,AksharChem India Limited,20347.839767
1713.0,MODTHREAD,Modern Threads (India) Limited,20326.08102
1714.0,SSFL,Srivari Spices And Foods Limited,20283.28
1715.0,IEL,Indiabulls Enterprises Limited,20230.373694
1716.0,BAHETI,Baheti Recycling Industries Limited,20063.10555
1717.0,ZEELEARN,Zee Learn Limited,20054.7025875
1718.0,GENCON,Generic Engineering Construction and Projects Limited,20047.690782
1719.0,SURANAT&P,Surana Telecom and Power Limited,19956.714561
1720.0,DELAPLEX,Delaplex Limited,19827.915
1721.0,ASPINWALL,Aspinwall and Company Limited,19670.812608
1722.0,DTIL,Dhunseri Tea & Industries Limited,19559.5753605
1723.0,DENEERS,De Neers Tools Limited,19450.464
1724.0,KCEIL,Kay Cee Energy & Infra Limited,19393.72
1725.0,AVPINFRA,AVP Infracon Limited,19358.88
1726.0,KANPRPLA,Kanpur Plastipack Limited,19321.9614
1727.0,CMNL,Chaman Metallics Limited,19319.878582
1728.0,RAJSREESUG,Rajshree Sugars & Chemicals Limited,19251.787086
1729.0,KBCGLOBAL,KBC Global Limited,19197.779895
1730.0,EFORCE,Electro Force (India) Limited,19188.00082
1731.0,AURDIS,Aurangabad Distillery Limited,19171.6
1732.0,INDBANK,Indbank Merchant Banking Services Limited,19149.1933
1733.0,TARMAT,Tarmat Limited,18969.68695
1734.0,INM,Interiors & More Limited,18628.7502
1735.0,MAXPOSURE,Maxposure Limited,18613.467575
1736.0,INFOLLION,Infollion Research Services Limited,18553.235708
1737.0,BAFNAPH,Bafna Pharmaceuticals Limited,18534.7384725
1738.0,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,18501.25575
1739.0,EFACTOR,E Factor Experiences Limited,18493.482474
1740.0,CLOUD,Varanium Cloud Limited,18488.323264000002
1741.0,COMPUSOFT,Compucom Software Limited,18475.731398
1742.0,DJML,DJ Mediaprint & Logistics Limited,18466.88112
1743.0,DUCON,Ducon Infratechnologies Limited,18455.773299
1744.0,ATLANTAA,ATLANTAA LIMITED,18419
1745.0,PRATHAM,Pratham EPC Projects Limited,18381.6
1746.0,MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,18293.403
1747.0,MAHESHWARI,Maheshwari Logistics Limited,18217.0766
1748.0,SHIVATEX,Shiva Texyarn Limited,18199.649052
1749.0,SIGIND,Signet Industries Limited,18192.066
1750.0,DHRUV,Dhruv Consultancy Services Limited,18022.456
1751.0,SECL,Salasar Exteriors and Contour Limited,18015.96125
1752.0,NITIRAJ,Nitiraj Engineers Limited,17780.3595
1753.0,INVENTURE,Inventure Growth & Securities Limited,17640
1754.0,ATAM,Atam Valves Limited,17636.256
1755.0,SPECTSTM,Spectrum Talent Management Limited,17631.578795999998
1756.0,AARVI,Aarvi Encon Limited,17622.528
1757.0,WEIZMANIND,Weizmann Limited,17579.7247785
1758.0,SALSTEEL,S.A.L. Steel Limited,17545.62355
1759.0,ALPA,Alpa Laboratories Limited,17516.2995
1760.0,GVPTECH,GVP Infotech Limited,17507.620925
1761.0,SHREEOSFM,Shree OSFM E-Mobility Limited,17469.332
1762.0,SONAMAC,Sona Machinery Limited,17443.204
1763.0,GLOBALVECT,Global Vectra Helicorp Limited,17262
1764.0,MANAKALUCO,Manaksia Aluminium Company Limited,17235.45515
1765.0,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,17209.06
1766.0,BLBLIMITED,BLB Limited,17181.20885
1767.0,EROSMEDIA,Eros International Media Limited,17120.6702415
1768.0,SUPREMEINF,Supreme Infrastructure India Limited,17089.41738
1769.0,SMARTLINK,Smartlink Holdings Limited,17042.2875
1770.0,VITAL,Vital Chemtech Limited,17005.281
1771.0,VISESHINFO,Visesh Infotecnics Limited,16984.9649475
1772.0,CADSYS,Cadsys (India) Limited,16948.1475
1773.0,XELPMOC,Xelpmoc Design And Tech Limited,16903.1312215
1774.0,SWASTIK,Swastik Pipe Limited,16819.57704
1775.0,PRAENG,Prajay Engineers Syndicate Limited,16819.5577355
1776.0,MUKTAARTS,Mukta Arts Limited,16803.3888
1777.0,PARIN,Parin Furniture Limited,16732.59
1778.0,VIVIANA,Viviana Power Tech Limited,16716
1779.0,UMANGDAIRY,Umang Dairies Limited,16601.4144
1780.0,BSL,BSL Limited,16549.806144000002
1781.0,MAHASTEEL,Mahamaya Steel Industries Limited,16541.2236
1782.0,ARCHIDPLY,Archidply Industries Limited,16458.1525
1783.0,CTE,Cambridge Technology Enterprises Limited,16382.0820175
1784.0,ARSHIYA,Arshiya Limited,16335.50673
1785.0,AARTECH,Aartech Solonics Limited,16324.6776875
1786.0,SALONA,Salona Cotspin Limited,16308.1776
1787.0,LOVABLE,Lovable Lingerie Limited,16280
1788.0,CANARYS,Canarys Automations Limited,16265.24484
1789.0,BAWEJA,Baweja Studios Limited,16261.8283825
1790.0,URBAN,Urban Enviro Waste Management Limited,16194.2
1791.0,BAGFILMS,B.A.G Films and Media Limited,16116.4415435
1792.0,ISFT,Intrasoft Technologies Limited,16109.089893
1793.0,KLL,Kaushalya Logistics Limited,16093.305
1794.0,GREENCHEF,Greenchef Appliances Limited,16057.5696
